ticker,company_name,exchange,sector,is_financial,is_constituent,market_cap,market_cap_source,last_price,shares_outstanding,latest_sec_filing_type,latest_sec_filing_date,market_data_date,sec_data_date,eligibility_status,exclusion_reason,data_source,collected_at
AAL,American Airlines Group Inc. Common Stock,NASDAQ,Consumer Discretionary,false,False,10363905097.0,provided,15.67,,10-Q,2026-04-23,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AAOI,Applied Optoelectronics Inc. Common Stock,NASDAQ,Technology,false,False,10066455120.0,provided,125.45,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AAON,AAON Inc. Common Stock,NASDAQ,Industrials,false,False,9250289410.0,provided,112.93,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AAPL,Apple Inc. Common Stock,NASDAQ,Technology,false,True,4624460910160.0,provided,314.86,,10-Q,2026-05-01,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ABNB,Airbnb Inc. Class A Common Stock,NASDAQ,Consumer Discretionary,false,True,88320379416.0,provided,146.54,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ABVX,Abivax SA American Depositary Shares,NASDAQ,Health Care,false,False,11615013717.0,provided,134.91,,,,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ACGL,Arch Capital Group Ltd. Common Stock,NASDAQ,Finance,true,False,35473524870.0,provided,101.53,,10-Q,2026-05-05,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,NASDAQ,Finance,true,False,5639147950.0,provided,16.14,,10-Q,2026-05-05,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,NASDAQ,Finance,true,False,6743219048.0,provided,19.3,,10-Q,2026-05-05,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ACIW,ACI Worldwide Inc. Common Stock,NASDAQ,Technology,false,False,5602569123.0,provided,55.11,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ACMR,ACM Research Inc. Class A Common Stock,NASDAQ,Technology,false,False,6549308716.0,provided,98.895,,10-Q,2026-05-08,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ACT,Enact Holdings Inc. Common Stock,NASDAQ,Finance,true,False,6372774009.0,provided,45.65,,10-Q,2026-05-06,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ADBE,Adobe Inc. Common Stock,NASDAQ,Technology,false,True,87760050000.0,provided,220.78,,10-Q,2026-06-15,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ADI,Analog Devices Inc. Common Stock,NASDAQ,Technology,false,True,191303434960.0,provided,392.75,,10-Q,2026-05-20,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ADP,Automatic Data Processing Inc. Common Stock,NASDAQ,Industrials,false,True,99227677064.0,provided,246.44,,10-Q,2026-04-30,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
ADSK,Autodesk Inc. Common Stock,NASDAQ,Technology,false,True,43449120000.0,provided,205.92,,10-Q,2026-05-29,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AEIS,Advanced Energy Industries Inc. Common Stock,NASDAQ,Technology,false,False,11606956516.0,provided,305.2,,10-Q,2026-05-04,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AEP,American Electric Power Company Inc. Common Stock,NASDAQ,Utilities,false,True,73421533018.0,provided,134.94,,10-Q,2026-05-05,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AFRM,Affirm Holdings Inc. Class A Common Stock,NASDAQ,Finance,true,False,28282183814.0,provided,84.45,,10-Q,2026-05-07,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AGNC,AGNC Investment Corp. Common Stock,NASDAQ,Real Estate,false,False,12833849261.0,provided,11.18,,10-Q,2026-05-04,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,NASDAQ,Real Estate,false,False,28526042409.0,provided,24.85,,10-Q,2026-05-04,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,Real Estate,false,False,28835983313.0,provided,25.12,,10-Q,2026-05-04,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,NASDAQ,Real Estate,false,False,29249237851.0,provided,25.48,,10-Q,2026-05-04,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,Real Estate,false,False,29094267399.0,provided,25.345,,10-Q,2026-05-04,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,NASDAQ,Real Estate,false,False,28778586849.0,provided,25.07,,10-Q,2026-05-04,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AGNCZ,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock,NASDAQ,Real Estate,false,False,28950776240.0,provided,25.22,,10-Q,2026-05-04,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
AKAM,Akamai Technologies Inc. Common Stock,NASDAQ,Consumer Discretionary,false,False,18334559226.0,provided,126.11,,10-Q,2026-05-08,2026-07-15,2026-07-15,unknown,,primary|sec_edgar,2026-07-15T01:56:41.354006+00:00
