watch_rank,ticker,company_name,market_cap,sector,market_data_date,rationale,limitation
1,SMLL2,Company SMLL2,8000000000,Technology,2024-01-01,현재 구성 종목 중 공개 데이터 기준 시가총액 하위권,공식 Nasdaq 내부 순위 및 최종 재량은 반영되지 않음
2,SMLL1,Company SMLL1,10000000000,Technology,2024-01-01,현재 구성 종목 중 공개 데이터 기준 시가총액 하위권,공식 Nasdaq 내부 순위 및 최종 재량은 반영되지 않음
3,NFLX,Company NFLX,280000000000,Communication Services,2024-01-01,현재 구성 종목 중 공개 데이터 기준 시가총액 하위권,공식 Nasdaq 내부 순위 및 최종 재량은 반영되지 않음
4,COST,Company COST,400000000000,Consumer Staples,2024-01-01,현재 구성 종목 중 공개 데이터 기준 시가총액 하위권,공식 Nasdaq 내부 순위 및 최종 재량은 반영되지 않음
5,AVGO,Company AVGO,750000000000,Technology,2024-01-01,현재 구성 종목 중 공개 데이터 기준 시가총액 하위권,공식 Nasdaq 내부 순위 및 최종 재량은 반영되지 않음
6,TSLA,Company TSLA,800000000000,Consumer Discretionary,2024-01-01,현재 구성 종목 중 공개 데이터 기준 시가총액 하위권,공식 Nasdaq 내부 순위 및 최종 재량은 반영되지 않음
7,META,Company META,1200000000000,Communication Services,2024-01-01,현재 구성 종목 중 공개 데이터 기준 시가총액 하위권,공식 Nasdaq 내부 순위 및 최종 재량은 반영되지 않음
8,AMZN,Company AMZN,1800000000000,Consumer Discretionary,2024-01-01,현재 구성 종목 중 공개 데이터 기준 시가총액 하위권,공식 Nasdaq 내부 순위 및 최종 재량은 반영되지 않음
9,GOOG,Company GOOG,1900000000000,Communication Services,2024-01-01,현재 구성 종목 중 공개 데이터 기준 시가총액 하위권,공식 Nasdaq 내부 순위 및 최종 재량은 반영되지 않음
10,NVDA,Company NVDA,2000000000000,Technology,2024-01-01,현재 구성 종목 중 공개 데이터 기준 시가총액 하위권,공식 Nasdaq 내부 순위 및 최종 재량은 반영되지 않음
